DATE,A191RP1Q027SBEA
4/1/1947,4.7
7/1/1947,6
10/1/1947,17.3
1/1/1948,9.6
4/1/1948,10.7
7/1/1948,10.1
10/1/1948,1.7
1/1/1949,-7.4
4/1/1949,-5.2
7/1/1949,2.3
10/1/1949,-3.3
1/1/1950,16
4/1/1950,14.3
7/1/1950,26.8
10/1/1950,16.2
1/1/1951,21.6
4/1/1951,10
7/1/1951,8.8
10/1/1951,5.6
1/1/1952,4.2
4/1/1952,1.4
7/1/1952,7.6
10/1/1952,15
1/1/1953,7.7
4/1/1953,3.9
7/1/1953,-0.6
10/1/1953,-5.2
1/1/1954,-0.6
4/1/1954,0.8
7/1/1954,5.1
10/1/1954,9.2
1/1/1955,14
4/1/1955,8.4
7/1/1955,8.5
10/1/1955,6.5
1/1/1956,2.5
4/1/1956,5.8
7/1/1956,4.7
10/1/1956,8.5
1/1/1957,8.3
4/1/1957,1.9
7/1/1957,6.5
10/1/1957,-3.8
1/1/1958,-6
4/1/1958,3.9
7/1/1958,12.3
10/1/1958,11.8
1/1/1959,8.9
4/1/1959,10
7/1/1959,1.8
10/1/1959,2.7
1/1/1960,11.1
4/1/1960,-1.2
7/1/1960,3.4
10/1/1960,-3.9
1/1/1961,3.6
4/1/1961,8
7/1/1961,9
10/1/1961,9.4
1/1/1962,9.6
4/1/1962,4.3
7/1/1962,5.9
10/1/1962,2.2
1/1/1963,6.3
4/1/1963,5.3
7/1/1963,9.7
10/1/1963,6
1/1/1964,10.1
4/1/1964,5.4
7/1/1964,8.1
10/1/1964,3.1
1/1/1965,12.3
4/1/1965,7.1
7/1/1965,10.9
10/1/1965,12.6
1/1/1966,13
4/1/1966,4.7
7/1/1966,7.5
10/1/1966,6.8
1/1/1967,5.3
4/1/1967,2.3
7/1/1967,7.9
10/1/1967,7.7
1/1/1968,13.3
4/1/1968,11.4
7/1/1968,7.2
10/1/1968,7.4
1/1/1969,10.9
4/1/1969,6.5
7/1/1969,8.6
10/1/1969,3.2
1/1/1970,5.1
4/1/1970,6.3
7/1/1970,7.2
10/1/1970,0.9
1/1/1971,18.2
4/1/1971,7.7
7/1/1971,7.6
10/1/1971,4.4
1/1/1972,14.3
4/1/1972,12.1
7/1/1972,7.9
10/1/1972,12.4
1/1/1973,15.4
4/1/1973,11
7/1/1973,5.8
10/1/1973,12.4
1/1/1974,4.1
4/1/1974,10.8
7/1/1974,8.1
10/1/1974,10.6
1/1/1975,4.2
4/1/1975,9.1
7/1/1975,14.8
10/1/1975,12.7
1/1/1976,14
4/1/1976,7.2
7/1/1976,7.6
10/1/1976,10.5
1/1/1977,11.7
4/1/1977,14.2
7/1/1977,12.7
10/1/1977,8.9
1/1/1978,7.3
4/1/1978,25.5
7/1/1978,11.3
10/1/1978,14.4
1/1/1979,8.3
4/1/1979,10.6
7/1/1979,12.3
10/1/1979,8.7
1/1/1980,10
4/1/1980,1.1
7/1/1980,8.7
10/1/1980,19.3
1/1/1981,19.9
4/1/1981,5
7/1/1981,13
10/1/1981,2.5
1/1/1982,-0.8
4/1/1982,7.2
7/1/1982,4.2
10/1/1982,4.4
1/1/1983,8.6
4/1/1983,12.7
7/1/1983,12.9
10/1/1983,11.9
1/1/1984,12.5
4/1/1984,10.8
7/1/1984,7.7
10/1/1984,6.4
1/1/1985,8.1
4/1/1985,6.3
7/1/1985,8.8
10/1/1985,5.3
1/1/1986,5.9
4/1/1986,3.4
7/1/1986,5.6
10/1/1986,4.4
1/1/1987,5.7
4/1/1987,7.3
7/1/1987,6.7
10/1/1987,10.5
1/1/1988,5.3
4/1/1988,9.5
7/1/1988,7.3
10/1/1988,9.1
1/1/1989,8.5
4/1/1989,7.6
7/1/1989,6
10/1/1989,3.7
1/1/1990,9
4/1/1990,6.1
7/1/1990,3.7
10/1/1990,-0.7
1/1/1991,2
4/1/1991,6.2
7/1/1991,5.3
10/1/1991,3.8
1/1/1992,6.4
4/1/1992,6.9
7/1/1992,6.1
10/1/1992,7.1
1/1/1993,2.9
4/1/1993,4.8
7/1/1993,4.4
10/1/1993,7.9
1/1/1994,5.9
4/1/1994,7.6
7/1/1994,4.7
10/1/1994,7
1/1/1995,3.6
4/1/1995,3.2
7/1/1995,5.5
10/1/1995,4.7
1/1/1996,5
4/1/1996,8.6
7/1/1996,5
10/1/1996,6.5
1/1/1997,5.1
4/1/1997,7.7
7/1/1997,6.9
10/1/1997,4.8
1/1/1998,4.7
4/1/1998,4.7
7/1/1998,6.9
10/1/1998,7.8
1/1/1999,5.2
4/1/1999,5
7/1/1999,6.9
10/1/1999,9.1
1/1/2000,4.2
4/1/2000,10.2
7/1/2000,2.8
10/1/2000,4.6
1/1/2001,1.3
4/1/2001,5
7/1/2001,0
10/1/2001,2.4
1/1/2002,4.7
4/1/2002,3.9
7/1/2002,3.6
10/1/2002,2.8
1/1/2003,4.1
4/1/2003,5.1
7/1/2003,9.3
10/1/2003,7.3
1/1/2004,5.2
4/1/2004,6.5
7/1/2004,6.5
10/1/2004,7.4
1/1/2005,7.9
4/1/2005,5
7/1/2005,7
10/1/2005,5.6
1/1/2006,8.5
4/1/2006,4.6
7/1/2006,3.4
10/1/2006,5
1/1/2007,5.1
4/1/2007,5.3
7/1/2007,4.6
10/1/2007,4.2
1/1/2008,-0.2
4/1/2008,4.4
7/1/2008,0.9
10/1/2008,-7.6
1/1/2009,-4.8
4/1/2009,-1.4
7/1/2009,1.9
10/1/2009,5.7
1/1/2010,3.1
4/1/2010,6
7/1/2010,4.4
10/1/2010,4.5
1/1/2011,1.1
4/1/2011,5.5
7/1/2011,2.3
10/1/2011,5.1
1/1/2012,5.8
4/1/2012,3.5
7/1/2012,2.8
10/1/2012,2.5
1/1/2013,5.2
4/1/2013,1.7
7/1/2013,5.2
10/1/2013,5.4
1/1/2014,0.3
4/1/2014,7.6
7/1/2014,6.6
10/1/2014,2.5
1/1/2015,3.1
4/1/2015,4.6
7/1/2015,2.5
10/1/2015,0.5
1/1/2016,2
4/1/2016,4.1
7/1/2016,3.6
10/1/2016,4.2
1/1/2017,4
4/1/2017,3.6
7/1/2017,5
10/1/2017,6.8
1/1/2018,5.3
4/1/2018,7.1
7/1/2018,3.3
10/1/2018,3
1/1/2019,3.7
4/1/2019,5.6
7/1/2019,4.1
10/1/2019,3.6
1/1/2020,-3.9
4/1/2020,-32.4
7/1/2020,38.7
10/1/2020,6.6
1/1/2021,10.9
4/1/2021,13.4
7/1/2021,8.4
10/1/2021,14.5
1/1/2022,6.5
